respondent,partner,frequency,partner_norm,partner_clean,freq_clean
Rnan,"child bright NYAC
mental health research 4 kids",Occasionally (a few times a month),child bright nyac mental health research 4 kids,"child bright NYAC
mental health research 4 kids",Occasionally
Rnan,School education board,Seldom (once a month or less),school education board,School education board,Seldom
Rnan,parents and schools interaction.,Occasionally (a few times a month),parents and schools interaction,parents and schools interaction.,Occasionally
Rnan,McGill University PAR KT CoLAB (research),Regularly (once a week or more),mcgill university par kt colab research,McGill University PAR KT CoLAB (research),Regularly
Rnan,Hold my hand Alberta,Regularly (once a week or more),hold my hand alberta,Hold my hand Alberta,Regularly
Rnan,government of Alberta Robin Hood association,Occasionally (a few times a month),government of alberta robin hood association,government of Alberta Robin Hood association,Occasionally
Rnan,"social worker from CLSC
private behavioural consultant
public school",Seldom (once a month or less),social worker from clsc private behavioural consultant public school,"social worker from CLSC
private behavioural consultant
public school",Seldom
Rnan,Alberta Health Services,Regularly (once a week or more),alberta health services,Alberta Health Services,Regularly
Rnan,CDKL5 Canada,Occasionally (a few times a month),cdkl5 canada,CDKL5 Canada,Occasionally
Rnan,PPAC - FSCD (Provincial Parent Advisory Committee - Family Supports for Children with Disabilities),Occasionally (a few times a month),ppac - fscd provincial parent advisory committee - family supports for children with disabilities,PPAC - FSCD (Provincial Parent Advisory Committee - Family Supports for Children with Disabilities),Occasionally
Rnan,Voice of citizens with disabilities,Seldom (once a month or less),voice of citizens with disabilities,Voice of citizens with disabilities,Seldom
Rnan,Schizophrenia society,Seldom (once a month or less),schizophrenia society,Schizophrenia society,Seldom
Rnan,I work with many,Seldom (once a month or less),i work with many,I work with many,Seldom
Rnan,but can't identify them publicly.,Seldom (once a month or less),but can't identify them publicly,but can't identify them publicly.,Seldom
Rnan,CANChild,Regularly (once a week or more),canchild,CANChild,Regularly
Rnan,School board,Regularly (once a week or more),school board,local school board,Regularly
Rnan,Ontario Health at Home,Seldom (once a month or less),ontario health at home,Ontario Health at Home,Seldom
Rnan,My child‚Äôs school,Seldom (once a month or less),my childäôs school,My child‚Äôs school,Seldom
Rnan,the swimming pool where my children take swimming lessons,Seldom (once a month or less),the swimming pool where my children take swimming lessons,the swimming pool where my children take swimming lessons,Seldom
Rnan,my healthcare providers,Seldom (once a month or less),my healthcare providers,my healthcare providers,Seldom
Rnan,Hamilton Health Sciences,Seldom (once a month or less),hamilton health sciences,Hamilton Health Sciences,Seldom
Rnan,Cruisers Sports,Seldom (once a month or less),cruisers sports,Cruisers Sports,Seldom
Rnan,Hospital for Sick Children,Seldom (once a month or less),hospital for sick children,Hospital for Sick Children,Seldom
Rnan,"Children at Risk Ottawa
Autism Ontario
Kids Brain Health Network",Occasionally (a few times a month),children at risk ottawa autism ontario kids brain health network,"Children at Risk Ottawa
Autism Ontario
Kids Brain Health Network",Occasionally
Rnan,AISH Facebook groups,Regularly (once a week or more),aish facebook groups,AISH Facebook groups,Regularly
Rnan,I'm on the board of directors of DAWN Canada. Alliance Against Seclusion and Restraint,Occasionally (a few times a month),i'm on the board of directors of dawn canada alliance against seclusion and restraint,I'm on the board of directors of DAWN Canada. Alliance Against Seclusion and Restraint,Occasionally
Rnan,Autism Canada,Seldom (once a month or less),autism canada,Autism Canada,Seldom
Rnan,CANFASD,Seldom (once a month or less),canfasd,CANFASD,Seldom
Rnan,CLSC,Seldom (once a month or less),clsc,CLSC,Seldom
Rnan,Miriam Home,Seldom (once a month or less),miriam home,Miriam Home,Seldom
Rnan,I started a local support group for parents of special needs and Neurodivergent kids in my neighborhood that now consists of several hundred families.,Regularly (once a week or more),i started a local support group for parents of special needs and neurodivergent kids in my neighborhood that now consists of several hundred families,I started a local support group for parents of special needs and Neurodivergent kids in my neighborhood that now consists of several hundred families.,Regularly
Rnan,MLA‚Äôs Brian Jean and Tany Yao,Regularly (once a week or more),mlaäôs brian jean and tany yao,MLA‚Äôs Brian Jean and Tany Yao,Regularly
Rnan,as well as Laila Goodridge. Attend human rights conferences and information sessions.,Seldom (once a month or less),as well as laila goodridge attend human rights conferences and information sessions,as well as Laila Goodridge. Attend human rights conferences and information sessions.,Seldom
Rnan,School administration/teachers,Seldom (once a month or less),school administrationteachers,School administration/teachers,Seldom
Rnan,fellow student with disabilities,Occasionally (a few times a month),fellow student with disabilities,fellow student with disabilities,Occasionally
Rnan,and Specialists/healthcare profesionals,Seldom (once a month or less),and specialistshealthcare profesionals,and Specialists/healthcare profesionals,Seldom
Rnan,Education,Occasionally (a few times a month),education,Education,Occasionally
Rnan,FSCD,Occasionally (a few times a month),fscd,FSCD,Occasionally
Rnan,community meetings,Seldom (once a month or less),community meetings,community meetings,Seldom
Rnan,Spinal Cord Injury Ontario,Occasionally (a few times a month),spinal cord injury ontario,Spinal Cord Injury Ontario,Occasionally
Rnan,Canadian Centre for Caregiving Excellence,Occasionally (a few times a month),canadian centre for caregiving excellence,Canadian Centre for Caregiving Excellence,Occasionally
Rnan,CanCHILD,Occasionally (a few times a month),canchild,CANChild,Occasionally
Rnan,"Women‚Äôs centre 
Librarian 
Home",Regularly (once a week or more),womenäôs centre librarian home,"Women‚Äôs centre 
Librarian 
Home",Regularly
Rnan,CNIB,Occasionally (a few times a month),cnib,CNIB,Occasionally
Rnan,Disability Without Poverty,Regularly (once a week or more),disability without poverty,Disability without poverty.,Regularly
Rnan,Inclusion Canada,Occasionally (a few times a month),inclusion canada,Inclusion Canada,Occasionally
Rnan,"We would very much like to collaborate with the federal government and others to implement CRPD rights for Canadians with Myalgic Encephalomyelitis, F",Seldom (once a month or less),we would very much like to collaborate with the federal government and others to implement crpd rights for canadians with myalgic encephalomyelitis f,"We would very much like to collaborate with the federal government and others to implement CRPD rights for Canadians with Myalgic Encephalomyelitis, F",Seldom
Rnan,Mad Canada Shadow Report Group,Regularly (once a week or more),mad canada shadow report group,Mad Canada Shadow Report Group,Regularly
Rnan,Tina Minkowitz,Occasionally (a few times a month),tina minkowitz,Tina Minkowitz,Occasionally
Rnan,Mindfreedom International,Occasionally (a few times a month),mindfreedom international,Mindfreedom International,Occasionally
