resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
R76,EN,I’m a family member of a person with a disability;Board member of organization which supports those with disabilities;,Supports for children and youth to participate in social activities with peers,,,,,,Person with Disability;Family/Caregiver,Children/Youth,Person with Disability,Children/Youth
R77,EN,"I’m a family member of a person with a disability;I work in the education field;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);Provide training to support people with disabilities;","Supports for children, youth, and adults; employment; housing; Indigenous disability rights; education for professionals/parents/caregivers; policing policies/procedures; healthcare professional awareness and ability to apply skills learned","BC Disability Collaborative
Autism Alliance of Canada
AutismBC
",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,Yes,Person with Disability;Family/Caregiver;Advocate/CSO;Education,Employment;Children/Youth;Health;Education;Housing;Indigenous;Rights/Policy,Person with Disability,Employment
R78,EN,"I’m a person with a disability;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","Social assistance (ODSP) and anti-poverty work, work for people with disabilities who are experiencing homelessness and rely on Toronto's shelter system, awareness on neurodivergence (i.e. autism)","ODSP Action Coalition, Defend Disability, Income Security Advocacy Centre (ISAC (though they are ableist)",Occasionally (a few times a month),Occasionally (a few times a month),Past employer,Yes,Person with Disability;Advocate/CSO,Employment;Poverty/Income;Housing,Person with Disability,Employment
RVersion 2 Qualtrics,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,"Education,Research,Advocacy (i.e., civil society organization, disabled persons organization)","Intersectional research supporting diverse people with disabilities including BOPIC, 2SLGBTQ+, girls, women, and gender diverse people. ",I do not have a list prepared at this time. ,Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),Yes,Person with Disability;Advocate/CSO;Researcher;Education,Other,Person with Disability,Other
Rnan,EN,"Research,Advocacy (i.e., civil society organization, disabled persons organization)",Advancing full inclusion and human rights for children and adults with an intellectual disability and their families,BCANDS; ARCH; the Inclusion Canada federation members (13 provincial/territorial organizations) ,Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),Yes,Person with Disability;Advocate/CSO;Researcher,Children/Youth;Accessibility/Inclusion;Rights/Policy,Person with Disability,Children/Youth
Rnan,EN,"Education,Research,Advocacy (i.e., civil society organization, disabled persons organization)",autism/neurodiversity,"Ministry of Education, RWA, OPHQ",Regularly (once a week or more),Regularly (once a week or more),Seldom (once a month or less),Yes,Person with Disability;Advocate/CSO;Researcher;Education,Other,Person with Disability,Other
Rnan,EN,"Health,Research,Leisure,Advocacy (i.e., civil society organization, disabled persons organization)",Children,"Canada research chair in childhood disabilities, ARCH disability Law Centre, parent and patient partners ",Regularly (once a week or more),Occasionally (a few times a month),,Yes,Person with Disability;Advocate/CSO;Researcher;Health;Leisure,Children/Youth,Person with Disability,Children/Youth
Rnan,EN,"Advocacy (i.e., civil society organization, disabled persons organization)",Indigenous ,"We collaborate with a wide range of local, Provincial, and Federal organizations and governments.  I‚Äôm not sure how to list our top 3 , as our Case Management program connections vary greatly",Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),No,Person with Disability;Advocate/CSO,Indigenous,Person with Disability,Indigenous
Rnan,EN,"Health,Education,Research,Leisure",Research- child-bright,,Regularly (once a week or more),,,,Researcher;Health;Education;Leisure,Children/Youth,Researcher,Children/Youth
Rnan,EN,"Health,Education","Children, ",Holland bloorview ,Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),Yes,Health;Education,Children/Youth,Health,Children/Youth
Rnan,EN,"Health,Education,Research,Leisure,Advocacy (i.e., civil society organization, disabled persons organization)","employment, youth, outreach","child bright NYAC
mental health research 4 kids",Occasionally (a few times a month),Seldom (once a month or less),,No,Person with Disability;Advocate/CSO;Researcher;Health;Education;Leisure,Employment;Children/Youth,Person with Disability,Employment
Rnan,EN,Education,"School, NGO, Church","School education board, parents and schools interaction. ",Seldom (once a month or less),Occasionally (a few times a month),Seldom (once a month or less),No,Education,Education,Education,Education
Rnan,EN,Research,Children with disabilities,McGill University PAR KT CoLAB (research),Regularly (once a week or more),,,,Researcher,Children/Youth,Researcher,Children/Youth
RVersion 3 Qualtrics,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
Rnan,EN,Other: Parent,Two children adhd and autistic ,"Hold my hand Alberta, government of Alberta Robin Hood association ",Regularly (once a week or more),Occasionally (a few times a month),Regularly (once a week or more),No,Family/Caregiver,Children/Youth,Family/Caregiver,Children/Youth
Rnan,EN,Other: Parent and caregiver,child,"social worker from CLSC
private behavioural consultant
public school",Seldom (once a month or less),Occasionally (a few times a month),Seldom (once a month or less),Yes,Family/Caregiver,Children/Youth,Family/Caregiver,Children/Youth
Rnan,EN,"Health,Research,Advocacy (i.e., civil society organization, disabled persons organization),Other",pediatric and adult,"1) Alberta Health Services
2) CDKL5 Canada
3) PPAC - FSCD (Provincial Parent Advisory Committee - Family Supports for Children with Disabilities)",Regularly (once a week or more),Occasionally (a few times a month),Occasionally (a few times a month),No,Person with Disability;Advocate/CSO;Researcher;Health,Other,Person with Disability,Other
Rnan,EN,"Research,Other: Personal experience with disability",Research,"Voice of citizens with disabilities, Schizophrenia society",Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),No,Researcher,Other,Researcher,Other
Rnan,EN,"Research,Other: Business",digital accessibility consultant,"I work with many, but can't identify them publicly. ",Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),Yes,Researcher,Accessibility/Inclusion,Researcher,Accessibility/Inclusion
Rnan,EN,"Education,Research,Other",Children,"CANChild, School board, Ontario Health at Home",Regularly (once a week or more),Regularly (once a week or more),Seldom (once a month or less),No,Researcher;Education,Children/Youth,Researcher,Children/Youth
Rnan,EN,"Health,Education,Leisure","Children, health professions education","My child‚Äôs school, the swimming pool where my children take swimming lessons, my healthcare providers",Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),No,Health;Education;Leisure,Children/Youth;Health;Education,Health,Children/Youth
Rnan,EN,Other: Lived Experience,All,"Hamilton Health Sciences, Cruisers Sports, Hospital for Sick Children",Seldom (once a month or less),Seldom (once a month or less),Seldom (once a month or less),Yes,Other,Other,Other,Other
Rnan,EN,"Advocacy (i.e., civil society organization, disabled persons organization)",children and teens,"Children at Risk Ottawa
Autism Ontario
Kids Brain Health Network",Occasionally (a few times a month),Seldom (once a month or less),Occasionally (a few times a month),No,Person with Disability;Advocate/CSO,Children/Youth,Person with Disability,Children/Youth
Rnan,EN,"Health,Advocacy (i.e., civil society organization, disabled persons organization)",provincial health,AISH Facebook groups,Regularly (once a week or more),Occasionally (a few times a month),,Yes,Person with Disability;Advocate/CSO;Health,Health,Person with Disability,Health
Rnan,EN,"Education,Advocacy (i.e., civil society organization, disabled persons organization)","self-advocacy, employment, the Prison Industrial Complex and school-to-prison pipeline, the intersection of disability and race: Black and Indigenous over-representation in prisons and foster care, Disabled women, disability through the lifetime.","I'm on the board of directors of DAWN Canada. Alliance Against Seclusion and Restraint, Autism Canada, CANFASD",Occasionally (a few times a month),Seldom (once a month or less),Seldom (once a month or less),No,Person with Disability;Advocate/CSO;Education,Employment;Education;Indigenous,Person with Disability,Employment
Rnan,EN,Other: I am a person with a disability and the parent of two children with disabilities,Children,"CLSC, Miriam Home",Seldom (once a month or less),Seldom (once a month or less),,Yes,Person with Disability;Family/Caregiver,Children/Youth,Person with Disability,Children/Youth
